ACCTYR	ACCTMO	CUSTNUM	BMDIV	WW_IND	ISU	RCTRYNUM	COVERAGE_TYPE	COVERAGE_ID	SUB_ISU	CHANID	MAJOR	MINOR	FEEDID	PROFIT_CTR	AREA	OFFER_COMP_CD	SIMT	PLATFORM	PILLAR	OFFER_CD	GEO_LOC_CODE	REV	COST
2017	01		A5	UNKCO	04	760					430	0920	MA			UN	760					0	-194.54
2017	01		A5	UNKCO	04I	760					430	0920	MA			UN	760					0	-1026.32
2017	01		A5	UNKCO	05	760					430	0920	MA			UN	760					0	-102.59
2017	01		A5	UNKCO	1R	760					430	0920	MA			UN	760					0	-15.25
2017	01		A5	UNKCO	11	760					430	0920	MA			UN	760					0	0
2017	01		A5	UNKCO	12	760					430	0920	MA			UN	760					0	0
2017	01		A5	UNKCO	14	760					430	0920	MA			UN	760					0	-28.65
2017	01		A5	UNKCO	18	760					430	0920	MA			UN	760					0	-21.26
2017	01		A5	UNKCO	19	760					430	0920	MA			UN	760					0	-27.73
2017	01		A5	UNKCO	21	760					430	0920	AD			UN	760					0	-0.05
2017	01		A5	UNKCO	21	760					430	0920	MA			UN	760					0	0
2017	01		A5	UNKCO	21	760					430	0920	MR			UN	760					0	4621
2017	01		A5	UNKCO	21	760	X	UNASSGN			430	0920	AP			UN	760					0	-4620.95
2017	01		A5	UNKCO	28	760					430	0920	MA			UN	760					0	0
2017	01		A5	UNKCO	3T	760					430	0920	MA			UN	760					0	-58.69
2017	01		A5	UNKCO	31	760					430	0920	MA			UN	760					0	-338.25
2017	01		A5	UNKCO	31I	760					430	0920	MA			UN	760					0	-209.33
2017	01		A5	UNKCO	32	760					430	0920	MA			UN	760					0	-224.58
2017	01		A5	UNKCO	34	760					430	0920	MA			UN	760					0	-1541.57
2017	01		A5	UNKCO	4A	760					430	0920	MA			UN	760					0	-61
2017	01		A5	UNKCO	4AI	760					430	0920	MA			UN	760					0	-134.93
2017	01		A5	UNKCO	4D	760					430	0920	MA			UN	760					0	-67.47
2017	01		A5	UNKCO	4F	760					430	0920	MA			UN	760					0	-233.82
2017	01		A5	UNKCO	4FI	760					430	0920	MA			UN	760					0	-94.73
2017	01		A5	UNKCO	40	760					430	0920	MA			UN	760					0	0
2017	01		A5	UNKCO	5B	760					430	0920	MA			UN	760					0	-136.32
2017	01		A5	UNKCO	5E	760					430	0920	MA			UN	760					0	-77.17
2017	01		A5	UNKCO	5EI	760					430	0920	MA			UN	760					0	-26.8
2017	01		C3		EXNOP	760					457	0297	MN			UN	760					0	5996
2017	01		C3		21	760					457	0297	JA			UN	760					0	5996
2017	01		C3		21	760					457	0297	MX			UN	760					0	-5996
2017	01		C3	UNKCO	EXNOP	760					457	0297	MN			UN	760					0	0
2017	01		C3	UNKCO	21	760					325	0300	AD			UN	760					0.37	0
2017	01		C3	UNKCO	21	760					425	0100	AD			UN	760					0	0.21
2017	01		C3	UNKCO	21	760					425	0200	AD			UN	760					0	-0.28
2017	01		C3	UNKCO	21	760					427	0100	AD			UN	760					0	0.41
2017	01		C3	UNKCO	21	760					457	0297	AD			UN	760					0	0
2017	01		C3	UNKCO	21	760					457	0297	MX			UN	760					0	0
2017	01		C3	UNKCO	21	760					464	0100	AD			UN	760					0	-0.46
2017	01		C3	UNKCO	21	760	X	UNASSGN			325	0300	AP			UN	760					0	0
2017	01		C3	UNKCO	21	760	X	UNASSGN			425	0100	AP			UN	760					0	0
2017	01		C3	UNKCO	21	760	X	UNASSGN			425	0200	AP			UN	760					0	0
2017	01		C3	UNKCO	21	760	X	UNASSGN			427	0100	AP			UN	760					0	3539.37
2017	01		C3	UNKCO	21	760	X	UNASSGN			464	0100	AP			UN	760					0	0
2017	01		D5		EXNOP	760					400	0297	MN			UN	760					0	650
